Anzahl aller Wörter gesamt: 785955

Wort;Anzahlmose;9725
nicht;7574
aber;6010
denn;5199
herr;4507
psalm;3863
sprach;3773
herrn;3766
wird;3367
sich;3302
euch;2977
gott;2893
werden;2520
auch;2396
will;2380
ihnen;2269
über;2264
sind;2261
alle;2237
könige;2188
seine;2179
soll;2089
könig;2069
chronik;1994
mich;1992
jesaja;1948
samuel;1948
israel;1895
dich;1881
nach;1850
jeremia;1821
volk;1818
unter;1765
matthäus;1754
sohn;1744
kinder;1728
einen;1710
lukas;1640
johannes;1559
habe;1541
wenn;1507
ihre;1499
eine;1482
haben;1481
hesekiel;1442
hatte;1425
hiob;1382
seinen;1379
deine;1359
also;1342
siehe;1312
meine;1295
waren;1280
dein;1279
apostelgeschichte;1267
noch;1243
seinem;1196
durch;1165
gottes;1157
spricht;1140
darum;1136
alles;1131
ward;1085
korinther;1084
sprüche;1064
hand;1048
sondern;1042
josua;1004
seiner;981
sollen;977
oder;958
ihren;941
hast;941
markus;931
sollst;926
wider;912
land;874
zeit;870
haus;825
hause;824
allen;816
stadt;813
römer;805
richter;803
david;801
doch;779
jerusalem;772
vater;751
deinen;750
lande;744
sprachen;732
mann;728
sagen;710
einem;708
tage;704
kommen;699
ging;686
mehr;674
deinem;662
wieder;661
wort;660
andern;648
israels;630
menschen;617
diese;615
offenbarung;608
namen;608
jesus;606
himmel;604
ihrer;597
priester;577
geben;575
sollt;573
meinem;572
leben;570
kein;567
meinen;567
kommt;565
königs;564
kindern;562
gegen;559
juda;553
wasser;549
zwei;549
einer;546
werde;542
deiner;542
lassen;537
machen;535
bist;533
gegeben;532
erde;527
getan;527
dies;524
hebräer;523
augen;523
eure;520
nichts;520
daniel;516
viel;511
wohl;505
willen;502
gehen;490
heiden;489
seid;487
seines;480
herz;480
weib;478
petrus;477
sohnes;457
kamen;455
ließ;452
machte;451
geist;449
seele;449
ihrem;446
macht;445
darin;443
daselbst;441
solches;441
nahm;440
niemand;438
habt;438
gemacht;430
nehemia;426
hatten;423
jahre;422
sage;421
männer;418
feuer;418
antwortete;417
gesagt;414
hände;401
sehen;397
ganze;395
heiligen;393
wurden;392
euer;392
essen;387
denen;387
wirst;386
knecht;385
deines;381
recht;378
schwert;373
dazu;371
timotheus;370
esra;370
dieser;369
brüder;368
söhne;366
stimme;364
knechte;364
gesetz;364
herzen;363
werdet;362
blut;362
ägypten;360
meiner;358
propheten;357
gehe;356
wüste;355
redete;354
reden;347
samt;346
gekommen;343
kann;341
allem;335
meer;334
sieben;334
fürsten;334
wollen;331
große;330
darnach;328
offb;328
epheser;327
sollte;324
gingen;323
andere;321
geworden;321
welt;321
meines;320
hören;319
selbst;317
sehr;317
euren;317
geredet;317
welche;315
warum;314
geboten;313
saul;313
sacharja;313
bruder;312
keine;310
hütte;310
diesen;310
unser;310
eines;310
worte;310
gewesen;309
mutter;307
ohne;307
erden;306
fleisch;305
aller;305
gerechtigkeit;303
vaters;299
jemand;298
drei;295
liebe;295
städte;295
gemeinde;294
matth;290
altar;288
brot;286
zebaoth;286
babel;285
morgen;284
ganzen;284
tochter;284
wohnen;282
geht;281
angesicht;278
jakob;278
jeglicher;275
nehmen;274
halten;274
judas;274
prediger;273
mensch;272
zogen;272
sterben;271
voll;271
geschrieben;271
davids;271
davon;270
ewiglich;269
diesem;269
hosea;267
rede;266
galater;265
großen;265
stand;265
engel;265
haupt;265
sünde;264
sandte;264
väter;264
jesu;264
gleich;263
allein;263
aaron;259
leviten;259
berge;258
wege;258
hieß;257
zorn;257
leute;256
welcher;253
juden;253
gnade;252
brandopfer;251
viele;251
heer;250
darauf;249
steht;249
glauben;247
ists;246
wollte;246
jahr;245
etliche;245
würde;243
salomo;243
bringen;241
nacht;239
ende;239
bund;237
gesehen;236
bleiben;236
volks;235
philister;234
gold;232
amos;232
rechten;231
tages;229
