,Titel,Jahr,Votes,Umsatz,Dauer
0,Connected - Familie verbindet,2021,"51,845",,113
1,Zack Snyder: Justice League,2021,"295,284",,242
2,The Father,2020,"64,252",,97
3,Avengers: Endgame,2019,"880,690",858.37,181
4,Die Verurteilten,1994,"2,399,932",28.34,142
5,Once Upon a Time In... Hollywood,2019,"585,696",142.50,161
6,Der Rausch,2020,"80,054",,117
7,Sound of Metal,2019,"89,306",,120
8,Der Pate,1972,"1,661,921",134.97,175
9,Inception,2010,"2,118,593",292.58,148
10,Interstellar,2014,"1,563,236",188.02,169
11,Knives Out: Ein Mord zum Dessert,2019,"493,936",165.36,130
12,Parasite,2019,"613,343",53.37,132
13,Stand by Me - Das Geheimnis eines Sommers,1986,"370,121",52.29,89
14,Joker,2019,"1,004,403",335.45,122
15,Guardians of the Galaxy,2014,"1,066,138",333.18,121
16,The Gentlemen,2019,"265,090",,113
17,Titanic,1997,"1,070,113",659.33,194
18,Soul,2020,"246,153",,100
19,The Dark Knight,2008,"2,360,861",534.86,152
20,Harry Potter und der Stein der Weisen,2001,"676,333",317.58,152
21,The Wolf of Wall Street,2013,"1,226,913",116.90,180
22,Pulp Fiction,1994,"1,865,774",107.93,154
23,Zurück in die Zukunft,1985,"1,084,064",210.61,116
24,Der Herr der Ringe: Die Gefährten,2001,"1,696,024",315.54,178
25,Blade Runner 2049,2017,"480,063",92.05,164
26,Tombstone,1993,"130,688",56.51,130
27,Inglourious Basterds,2009,"1,300,360",120.54,153
28,Thor: Tag der Entscheidung,2017,"615,777",315.06,130
29,Der weiße Hai,1975,"551,092",260.00,124
30,GoodFellas - Drei Jahrzehnte in der Mafia,1990,"1,044,613",46.84,146
31,Watchmen: Die Wächter,2009,"516,369",107.51,162
32,Baby Driver,2017,"457,517",107.83,113
33,Gladiator,2000,"1,368,627",187.71,155
34,Avengers: Infinity War,2018,"881,494",678.82,149
35,Matrix,1999,"1,713,707",171.48,136
36,Alien - Das unheimliche Wesen aus einer fremden Welt,1979,"804,385",78.90,117
37,300,2006,"745,365",210.61,117
38,Ex Machina,2014,"486,434",25.44,108
39,Die Goonies,1985,"249,400",61.50,114
40,Deadpool 2,2018,"499,061",324.59,119
41,Wer die Nachtigall stört,1962,"297,966",,129
42,Whiplash,2014,"740,728",13.09,106
43,Saw - Wessen Blut wird fließen?,2004,"386,979",56.00,103
44,Fight Club,1999,"1,895,723",37.03,139
45,1917,2019,"463,506",159.23,119
46,Green Book - Eine besondere Freundschaft,2018,"406,342",85.08,130
47,Departed: Unter Feinden,2006,"1,215,013",132.38,151
48,Das Schweigen der Lämmer,1991,"1,300,891",130.74,118
49,Jojo Rabbit,2019,"321,339",0.35,108
